Scode,itercount,acc_test,val,margin,period
NOA,2,0.3122807,[0],8,1
NOA,3,0.3385965,[0],8,1
NOA,4,0.3263158,[0],8,1
HBM,0,0.3707317,[0],8,1
HBM,1,0.35609755,[0],8,1
HBM,2,0.36585367,[0],8,1
HBM,3,0.35853657,[0],8,1
HBM,4,0.3512195,[0],8,1
LBRT,0,0.33846155,[0],8,1
LBRT,1,0.33846155,[0],8,1
LBRT,2,0.4043956,[0],8,1
LBRT,3,0.36483517,[0],8,1
LBRT,4,0.35604396,[0],8,1
DDD,0,0.31385008,[0],8,1
DDD,1,0.30749682,[0],8,1
DDD,2,0.317662,[0],8,1
DDD,3,0.32401526,[0],8,1
DDD,4,0.31003812,[0],8,1
TREC,0,0.39726028,[0],8,1
TREC,1,0.39334637,[0],8,1
TREC,2,0.39530334,[0],8,1
TREC,3,0.40313113,[0],8,1
TREC,4,0.39921722,[0],8,1
CDE,0,0.28716645,[0],8,1
CDE,1,0.28335452,[0],8,1
CDE,2,0.27700126,[0],8,1
CDE,3,0.26810673,[0],8,1
CDE,4,0.28716645,[0],8,1
MXL,0,0.4402985,[0],8,1
MXL,1,0.4402985,[0],8,1
MXL,2,0.4402985,[0],8,1
MXL,3,0.44278607,[0],8,1
MXL,4,0.4402985,[0],8,1
CRD.B,0,0.30495554,[0],8,1
CRD.B,1,0.317662,[0],8,1
CRD.B,2,0.30749682,[0],8,1
CRD.B,3,0.31003812,[0],8,1
CRD.B,4,0.3011436,[0],8,1
XIN,0,0.29206964,[0],8,1
XIN,1,0.29980657,[0],8,1
XIN,2,0.33462283,[0],8,1
XIN,3,0.28626692,[0],8,1
XIN,4,0.2843327,[0],8,1
QEP,0,0.41131106,[0],8,1
QEP,1,0.41388175,[0],8,1
QEP,2,0.41388175,[0],8,1
QEP,3,0.42159384,[0],8,1
QEP,4,0.41645244,[0],8,1
ESTE,0,0.45232275,[0],8,1
ESTE,1,0.40831295,[0],8,1
ESTE,2,0.40831295,[0],8,1
ESTE,3,0.42787287,[0],8,1
ESTE,4,0.42787287,[0],8,1
EGHT,0,0.36340535,[0],8,1
EGHT,1,0.3494282,[0],8,1
EGHT,2,0.37484118,[0],8,1
EGHT,3,0.37738246,[0],8,1
EGHT,4,0.36340535,[0],8,1
TECK,0,0.35762712,[0],8,1
TECK,1,0.3677966,[0],8,1
TECK,2,0.35084745,[0],8,1
TECK,3,0.35254237,[0],8,1
TECK,4,0.37118644,[0],8,1
AG,0,0.297561,[0],8,1
AG,1,0.3097561,[0],8,1
AG,2,0.297561,[0],8,1
AG,3,0.2902439,[0],8,1
AG,4,0.29268292,[0],8,1
HTZ,0,0.37478107,[0],8,1
HTZ,1,0.38528895,[0],8,1
HTZ,2,0.3765324,[0],8,1
HTZ,3,0.3765324,[0],8,1
HTZ,4,0.3502627,[0],8,1
AGI,0,0.32682925,[0],8,1
AGI,1,0.3390244,[0],8,1
AGI,2,0.3219512,[0],8,1
AGI,3,0.32682925,[0],8,1
AGI,4,0.33658537,[0],8,1
BXC,0,0.3488024,[0],8,1
BXC,1,0.35778442,[0],8,1
BXC,2,0.35628742,[0],8,1
BXC,3,0.35928145,[0],8,1
BXC,4,0.35329342,[0],8,1
GOL,0,0.29913294,[0],8,1
GOL,1,0.30924857,[0],8,1
GOL,2,0.32225433,[0],8,1
GOL,3,0.31936416,[0],8,1
GOL,4,0.29768786,[0],8,1
FN,0,0.38303342,[0],8,1
FN,1,0.3856041,[0],8,1
FN,2,0.37532133,[0],8,1
FN,3,0.38046274,[0],8,1
FN,4,0.3856041,[0],8,1
LAC,0,0.39756098,[0],8,1
LAC,1,0.3707317,[0],8,1
LAC,2,0.43170732,[0],8,1
LAC,3,0.4,[0],8,1
LAC,4,0.42439026,[0],8,1
JKS,0,0.28101265,[0],8,1
