IX,0.8518518518518519
SBS,0.8113207547169812
RE,0.9166666666666666
SQM,0.8235294117647058
TGI,0.7317073170731707
LAD,0.8823529411764706
EVR,0.775
PBR.A,0.7101449275362319
FTI,0.7692307692307693
ENS,0.8205128205128205
CRH,0.8163265306122449
HLX,0.746268656716418
BAS,0.7611940298507462
SA,0.8202247191011236
CALX,0.7714285714285715
MOD,0.7692307692307693
MSA,0.8529411764705882
ESV,0.7941176470588235
SSL,0.7358490566037735
PB,0.8571428571428571
MED,0.8225806451612904
BKE,0.8431372549019608
ING,0.725
HP,0.7164179104477612
NL,0.8
EDU,0.7142857142857143
WCC,0.7796610169491526
MEI,0.7792207792207793
SFE,0.7424242424242424
PAY,0.7857142857142857
RES,0.7142857142857143
BFR,0.8048780487804879
WCN,0.7777777777777778
TECK,0.7419354838709677
VALE,0.7532467532467533
HTZ,0.7142857142857143
GOL,0.8148148148148148
JOE,0.8157894736842105
FCX,0.71875
UAA,0.8333333333333334
TWI,0.7837837837837838
TEN,0.7285714285714285
BKS,0.8571428571428571
KEY,0.8205128205128205
CABO,0.782051282051282
----------------------

