Scode,itercount,acc_test,val,margin,period
NOA,2,0.352014,[0],4,1
NOA,3,0.33975482,[0],4,1
NOA,4,0.3642732,[0],4,1
HBM,0,0.35036495,[0],4,1
HBM,1,0.3625304,[0],4,1
HBM,2,0.34549877,[0],4,1
HBM,3,0.35766423,[0],4,1
HBM,4,0.3625304,[0],4,1
LBRT,0,0.34210527,[0],4,1
LBRT,1,0.375,[0],4,1
LBRT,2,0.38377193,[0],4,1
LBRT,3,0.37719297,[0],4,1
LBRT,4,0.37938598,[0],4,1
DDD,0,0.28335452,[0],4,1
DDD,1,0.2757306,[0],4,1
DDD,2,0.28970775,[0],4,1
DDD,3,0.28716645,[0],4,1
DDD,4,0.28716645,[0],4,1
TREC,0,0.3984375,[0],4,1
TREC,1,0.40625,[0],4,1
TREC,2,0.40234375,[0],4,1
TREC,3,0.40429688,[0],4,1
TREC,4,0.4140625,[0],4,1
CDE,0,0.28462517,[0],4,1
CDE,1,0.2884371,[0],4,1
CDE,2,0.28462517,[0],4,1
CDE,3,0.2909784,[0],4,1
CDE,4,0.28081322,[0],4,1
MXL,0,0.3846154,[0],4,1
MXL,1,0.382134,[0],4,1
MXL,2,0.3846154,[0],4,1
MXL,3,0.38709676,[0],4,1
MXL,4,0.3846154,[0],4,1
CRD.B,0,0.29479036,[0],4,1
CRD.B,1,0.31003812,[0],4,1
CRD.B,2,0.31639135,[0],4,1
CRD.B,3,0.30876747,[0],4,1
CRD.B,4,0.32401526,[0],4,1
XIN,0,0.32818532,[0],4,1
XIN,1,0.31660232,[0],4,1
XIN,2,0.32818532,[0],4,1
XIN,3,0.33204633,[0],4,1
XIN,4,0.3146718,[0],4,1
QEP,0,0.4344473,[0],4,1
QEP,1,0.42159384,[0],4,1
QEP,2,0.41902313,[0],4,1
QEP,3,0.4318766,[0],4,1
QEP,4,0.42159384,[0],4,1
ESTE,0,0.46341464,[0],4,1
ESTE,1,0.46341464,[0],4,1
ESTE,2,0.45365855,[0],4,1
ESTE,3,0.46341464,[0],4,1
ESTE,4,0.43414634,[0],4,1
EGHT,0,0.34434563,[0],4,1
EGHT,1,0.35069886,[0],4,1
EGHT,2,0.33672172,[0],4,1
EGHT,3,0.34815755,[0],4,1
EGHT,4,0.3227446,[0],4,1
TECK,0,0.38409474,[0],4,1
TECK,1,0.37563452,[0],4,1
TECK,2,0.37225044,[0],4,1
TECK,3,0.36548224,[0],4,1
TECK,4,0.38240272,[0],4,1
AG,0,0.2676399,[0],4,1
AG,1,0.28710464,[0],4,1
AG,2,0.28467155,[0],4,1
AG,3,0.27737227,[0],4,1
AG,4,0.29927006,[0],4,1
HTZ,0,0.36077058,[0],4,1
HTZ,1,0.37302977,[0],4,1
HTZ,2,0.3642732,[0],4,1
HTZ,3,0.3642732,[0],4,1
HTZ,4,0.3485114,[0],4,1
AGI,0,0.4,[0],4,1
AGI,1,0.38292682,[0],4,1
AGI,2,0.39756098,[0],4,1
AGI,3,0.38780487,[0],4,1
AGI,4,0.39512196,[0],4,1
BXC,0,0.33034378,[0],4,1
BXC,1,0.31838566,[0],4,1
BXC,2,0.30792227,[0],4,1
BXC,3,0.32436472,[0],4,1
BXC,4,0.3213752,[0],4,1
GOL,0,0.3015873,[0],4,1
GOL,1,0.32756132,[0],4,1
GOL,2,0.3073593,[0],4,1
GOL,3,0.3116883,[0],4,1
GOL,4,0.3102453,[0],4,1
FN,0,0.3871795,[0],4,1
FN,1,0.3871795,[0],4,1
FN,2,0.3871795,[0],4,1
FN,3,0.3871795,[0],4,1
FN,4,0.3871795,[0],4,1
LAC,0,0.41463414,[0],4,1
LAC,1,0.36341465,[0],4,1
LAC,2,0.3219512,[0],4,1
LAC,3,0.42682928,[0],4,1
LAC,4,0.39268294,[0],4,1
JKS,0,0.23484848,[0],4,1
JKS,1,0.2777778,[0],4,1
JKS,2,0.23232323,[0],4,1
JKS,3,0.24747474,[0],4,1
JKS,4,0.25757575,[0],4,1
WTI,0,0.29758307,[1],4,1
WTI,1,0.29909366,[1],4,1
WTI,2,0.30513597,[1],4,1
WTI,3,0.2960725,[1],4,1
WTI,4,0.29456192,[1],4,1
CVI,0,0.3504762,[1],4,1
CVI,1,0.34285715,[1],4,1
CVI,2,0.34095237,[1],4,1
CVI,3,0.3390476,[1],4,1
CVI,4,0.35809523,[1],4,1
HIL,0,0.37055838,[1],4,1
HIL,1,0.3401015,[1],4,1
HIL,2,0.357022,[1],4,1
HIL,3,0.34348562,[1],4,1
HIL,4,0.36209813,[1],4,1
REN,0,0.3901869,[1],4,1
REN,1,0.40654206,[1],4,1
REN,2,0.3901869,[1],4,1
REN,3,0.39719626,[1],4,1
REN,4,0.38785046,[1],4,1
CLF,0,0.2909784,[1],4,1
CLF,1,0.29606098,[1],4,1
CLF,2,0.29224905,[1],4,1
CLF,3,0.29479036,[1],4,1
CLF,4,0.31385008,[1],4,1
EDN,0,0.35636362,[1],4,1
EDN,1,0.3690909,[1],4,1
EDN,2,0.3618182,[1],4,1
EDN,3,0.3618182,[1],4,1
EDN,4,0.3581818,[1],4,1
LL,0,0.35249043,[1],4,1
LL,1,0.34291187,[1],4,1
LL,2,0.34291187,[1],4,1
LL,3,0.33716476,[1],4,1
LL,4,0.35632184,[1],4,1
UAL,0,0.38297874,[1],4,1
UAL,1,0.38134205,[1],4,1
UAL,2,0.38952535,[1],4,1
UAL,3,0.38134205,[1],4,1
UAL,4,0.38625205,[1],4,1
CRK,0,0.29224905,[1],4,1
CRK,1,0.29479036,[1],4,1
CRK,2,0.29224905,[1],4,1
CRK,3,0.29860228,[1],4,1
CRK,4,0.28208387,[1],4,1
ORN,0,0.34622824,[1],4,1
ORN,1,0.3500967,[1],4,1
ORN,2,0.34622824,[1],4,1
ORN,3,0.3539652,[1],4,1
ORN,4,0.34042552,[1],4,1
BPI,0,0.42350334,[1],4,1
BPI,1,0.41463414,[1],4,1
BPI,2,0.42793792,[1],4,1
BPI,3,0.42572063,[1],4,1
BPI,4,0.42572063,[1],4,1
CLR,0,0.36563072,[1],4,1
CLR,1,0.38025594,[1],4,1
CLR,2,0.3820841,[1],4,1
CLR,3,0.3820841,[1],4,1
CLR,4,0.3857404,[1],4,1
HPR,0,0.3019432,[1],4,1
HPR,1,0.30044842,[1],4,1
HPR,2,0.30792227,[1],4,1
HPR,3,0.29147983,[1],4,1
HPR,4,0.29895365,[1],4,1
PRO,0,0.39371535,[1],4,1
PRO,1,0.39186692,[1],4,1
PRO,2,0.3974122,[1],4,1
PRO,3,0.38817006,[1],4,1
PRO,4,0.3844732,[1],4,1
VG,0,0.37080538,[1],4,1
VG,1,0.39765102,[1],4,1
VG,2,0.37416106,[1],4,1
VG,3,0.3909396,[1],4,1
VG,4,0.37919462,[1],4,1
FSM,0,0.3649635,[1],4,1
FSM,1,0.35523114,[1],4,1
FSM,2,0.3673966,[1],4,1
FSM,3,0.36982968,[1],4,1
FSM,4,0.34063262,[1],4,1
CAI,0,0.39488116,[1],4,1
CAI,1,0.40036562,[1],4,1
CAI,2,0.41133454,[1],4,1
CAI,3,0.40402195,[1],4,1
CAI,4,0.40767825,[1],4,1
TROX,0,0.4160584,[1],4,1
TROX,1,0.40632603,[1],4,1
TROX,2,0.4111922,[1],4,1
TROX,3,0.41849148,[1],4,1
TROX,4,0.42579076,[1],4,1
OAS,0,0.2966752,[1],4,1
OAS,1,0.3196931,[1],4,1
OAS,2,0.31202045,[1],4,1
OAS,3,0.32992327,[1],4,1
OAS,4,0.31713554,[1],4,1
GFA,0,0.2954955,[1],4,1
GFA,1,0.3045045,[1],4,1
GFA,2,0.3063063,[1],4,1
GFA,3,0.2990991,[1],4,1
GFA,4,0.2990991,[1],4,1
BAS,0,0.273021,[1],4,1
BAS,1,0.2907916,[1],4,1
BAS,2,0.22617124,[1],4,1
BAS,3,0.22132471,[1],4,1
BAS,4,0.30371568,[1],4,1
VRS,0,0.28978622,[1],4,1
VRS,1,0.2992874,[1],4,1
VRS,2,0.29453683,[1],4,1
VRS,3,0.3206651,[1],4,1
VRS,4,0.32541567,[1],4,1
PGTI,0,0.34348562,[1],4,1
PGTI,1,0.3401015,[1],4,1
PGTI,2,0.35025382,[1],4,1
PGTI,3,0.34517765,[1],4,1
PGTI,4,0.321489,[1],4,1
DL,0,0.37860084,[1],4,1
DL,1,0.3909465,[1],4,1
DL,2,0.3888889,[1],4,1
DL,3,0.38271606,[1],4,1
DL,4,0.37448558,[1],4,1
CALX,0,0.42183623,[1],4,1
CALX,1,0.42431763,[1],4,1
CALX,2,0.42183623,[1],4,1
CALX,3,0.42183623,[1],4,1
CALX,4,0.41935483,[1],4,1
ATV,0,0.38251367,[1],4,1
ATV,1,0.3734062,[1],4,1
ATV,2,0.3752277,[1],4,1
ATV,3,0.3734062,[1],4,1
ATV,4,0.37704918,[1],4,1
CPE,0,0.3303685,[1],4,1
CPE,1,0.3303685,[1],4,1
CPE,2,0.33926302,[1],4,1
CPE,3,0.33545107,[1],4,1
CPE,4,0.31130877,[1],4,1
IO,0,0.28462517,[1],4,1
IO,1,0.2617535,[1],4,1
IO,2,0.25412962,[1],4,1
IO,3,0.2566709,[1],4,1
IO,4,0.27954257,[1],4,1
PZN,0,0.41603053,[1],4,1
PZN,1,0.38358778,[1],4,1
PZN,2,0.39312977,[1],4,1
PZN,3,0.39885497,[1],4,1
PZN,4,0.40839696,[1],4,1
NOA,0,0.352014,[1],4,1
NOA,1,0.37302977,[1],4,1
NOA,2,0.33800352,[1],4,1
NOA,3,0.3782837,[1],4,1
NOA,4,0.33099824,[1],4,1
HBM,0,0.35766423,[1],4,1
HBM,1,0.34306568,[1],4,1
HBM,2,0.34306568,[1],4,1
HBM,3,0.36982968,[1],4,1
HBM,4,0.34306568,[1],4,1
LBRT,0,0.35526314,[1],4,1
LBRT,1,0.3640351,[1],4,1
LBRT,2,0.34429824,[1],4,1
LBRT,3,0.35745615,[1],4,1
LBRT,4,0.3618421,[1],4,1
DDD,0,0.30622616,[1],4,1
DDD,1,0.30622616,[1],4,1
DDD,2,0.29860228,[1],4,1
DDD,3,0.30495554,[1],4,1
DDD,4,0.31003812,[1],4,1
TREC,0,0.35742188,[1],4,1
TREC,1,0.33984375,[1],4,1
TREC,2,0.37109375,[1],4,1
TREC,3,0.36132812,[1],4,1
TREC,4,0.3671875,[1],4,1
CDE,0,0.24523507,[1],4,1
CDE,1,0.28716645,[1],4,1
CDE,2,0.27700126,[1],4,1
CDE,3,0.2858958,[1],4,1
CDE,4,0.28970775,[1],4,1
MXL,0,0.3846154,[1],4,1
MXL,1,0.39205956,[1],4,1
MXL,2,0.382134,[1],4,1
MXL,3,0.38709676,[1],4,1
MXL,4,0.38709676,[1],4,1
CRD.B,0,0.33799237,[1],4,1
CRD.B,1,0.32401526,[1],4,1
CRD.B,2,0.33672172,[1],4,1
CRD.B,3,0.3468869,[1],4,1
CRD.B,4,0.33926302,[1],4,1
XIN,0,0.37451738,[1],4,1
XIN,1,0.36293435,[1],4,1
XIN,2,0.38030887,[1],4,1
XIN,3,0.38223937,[1],4,1
XIN,4,0.37258688,[1],4,1
QEP,0,0.42673522,[1],4,1
QEP,1,0.42416453,[1],4,1
QEP,2,0.42673522,[1],4,1
QEP,3,0.41902313,[1],4,1
QEP,4,0.42416453,[1],4,1
ESTE,0,0.41951218,[1],4,1
ESTE,1,0.41707316,[1],4,1
ESTE,2,0.41219512,[1],4,1
ESTE,3,0.41463414,[1],4,1
ESTE,4,0.41951218,[1],4,1
EGHT,0,0.34434563,[1],4,1
EGHT,1,0.3329098,[1],4,1
EGHT,2,0.34053367,[1],4,1
EGHT,3,0.37102923,[1],4,1
EGHT,4,0.36340535,[1],4,1
TECK,0,0.36209813,[1],4,1
TECK,1,0.37055838,[1],4,1
TECK,2,0.36548224,[1],4,1
TECK,3,0.36548224,[1],4,1
TECK,4,0.37225044,[1],4,1
AG,0,0.33576643,[1],4,1
AG,1,0.3625304,[1],4,1
AG,2,0.34063262,[1],4,1
AG,3,0.34306568,[1],4,1
AG,4,0.3673966,[1],4,1
HTZ,0,0.3485114,[1],4,1
HTZ,1,0.35376534,[1],4,1
HTZ,2,0.35551664,[1],4,1
HTZ,3,0.35376534,[1],4,1
HTZ,4,0.3625219,[1],4,1
AGI,0,0.31463414,[1],4,1
AGI,1,0.3292683,[1],4,1
AGI,2,0.32439023,[1],4,1
AGI,3,0.31463414,[1],4,1
AGI,4,0.3097561,[1],4,1
BXC,0,0.34678626,[1],4,1
BXC,1,0.34230193,[1],4,1
BXC,2,0.34080717,[1],4,1
BXC,3,0.34529147,[1],4,1
BXC,4,0.3497758,[1],4,1
GOL,0,0.3030303,[1],4,1
GOL,1,0.3059163,[1],4,1
GOL,2,0.3059163,[1],4,1
GOL,3,0.3073593,[1],4,1
GOL,4,0.3131313,[1],4,1
FN,0,0.41025642,[1],4,1
FN,1,0.41025642,[1],4,1
FN,2,0.41025642,[1],4,1
FN,3,0.41025642,[1],4,1
FN,4,0.41025642,[1],4,1
LAC,0,0.40487805,[1],4,1
LAC,1,0.4390244,[1],4,1
LAC,2,0.38292682,[1],4,1
LAC,3,0.42439026,[1],4,1
LAC,4,0.43658537,[1],4,1
JKS,0,0.32070708,[1],4,1
JKS,1,0.28282827,[1],4,1
JKS,2,0.29040405,[1],4,1
JKS,3,0.31565657,[1],4,1
JKS,4,0.33838382,[1],4,1
WTI,0,0.3323263,[2],4,1
WTI,1,0.33383685,[2],4,1
WTI,2,0.28851965,[2],4,1
WTI,3,0.3202417,[2],4,1
WTI,4,0.326284,[2],4,1
CVI,0,0.35428572,[2],4,1
CVI,1,0.36380953,[2],4,1
CVI,2,0.36952382,[2],4,1
CVI,3,0.38285714,[2],4,1
CVI,4,0.31809524,[2],4,1
HIL,0,0.3604061,[2],4,1
HIL,1,0.37394246,[2],4,1
HIL,2,0.3147208,[2],4,1
HIL,3,0.37732658,[2],4,1
HIL,4,0.3248731,[2],4,1
REN,0,0.36214954,[2],4,1
REN,1,0.31542057,[2],4,1
REN,2,0.3271028,[2],4,1
REN,3,0.34345794,[2],4,1
REN,4,0.38551402,[2],4,1
CLF,0,0.2884371,[2],4,1
CLF,1,0.32528588,[2],4,1
CLF,2,0.30241424,[2],4,1
CLF,3,0.28208387,[2],4,1
CLF,4,0.30622616,[2],4,1
EDN,0,0.38181818,[2],4,1
EDN,1,0.4109091,[2],4,1
EDN,2,0.39636365,[2],4,1
EDN,3,0.42,[2],4,1
EDN,4,0.4109091,[2],4,1
LL,0,0.20689656,[2],4,1
LL,1,0.37547892,[2],4,1
LL,2,0.3927203,[2],4,1
LL,3,0.37739465,[2],4,1
LL,4,0.35440612,[2],4,1
UAL,0,0.38625205,[2],4,1
UAL,1,0.37315875,[2],4,1
UAL,2,0.36988544,[2],4,1
UAL,3,0.3371522,[2],4,1
UAL,4,0.2700491,[2],4,1
CRK,0,0.3329098,[2],4,1
CRK,1,0.32401526,[2],4,1
CRK,2,0.3329098,[2],4,1
CRK,3,0.32909784,[2],4,1
CRK,4,0.35832274,[2],4,1
ORN,0,0.3539652,[2],4,1
ORN,1,0.28626692,[2],4,1
ORN,2,0.37717602,[2],4,1
ORN,3,0.32688588,[2],4,1
ORN,4,0.3617021,[2],4,1
BPI,0,0.37915742,[2],4,1
BPI,1,0.345898,[2],4,1
BPI,2,0.35920176,[2],4,1
BPI,3,0.3436807,[2],4,1
BPI,4,0.3858093,[2],4,1
CLR,0,0.34369287,[2],4,1
CLR,1,0.28519195,[2],4,1
CLR,2,0.37111518,[2],4,1
CLR,3,0.369287,[2],4,1
CLR,4,0.33089578,[2],4,1
HPR,0,0.35127056,[2],4,1
HPR,1,0.3213752,[2],4,1
HPR,2,0.3497758,[2],4,1
HPR,3,0.30343798,[2],4,1
HPR,4,0.40209267,[2],4,1
PRO,0,0.39186692,[2],4,1
PRO,1,0.39371535,[2],4,1
PRO,2,0.4232902,[2],4,1
PRO,3,0.35674676,[2],4,1
PRO,4,0.35674676,[2],4,1
VG,0,0.39261746,[2],4,1
VG,1,0.30872482,[2],4,1
VG,2,0.30536914,[2],4,1
VG,3,0.38255033,[2],4,1
VG,4,0.36241612,[2],4,1
FSM,0,0.26277372,[2],4,1
FSM,1,0.26277372,[2],4,1
FSM,2,0.270073,[2],4,1
FSM,3,0.25547445,[2],4,1
FSM,4,0.28710464,[2],4,1
CAI,0,0.40767825,[2],4,1
CAI,1,0.37111518,[2],4,1
CAI,2,0.40767825,[2],4,1
CAI,3,0.31627056,[2],4,1
CAI,4,0.42778793,[2],4,1
TROX,0,0.34063262,[2],4,1
TROX,1,0.4136253,[2],4,1
TROX,2,0.459854,[2],4,1
TROX,3,0.42092457,[2],4,1
TROX,4,0.35279804,[2],4,1
OAS,0,0.3375959,[2],4,1
OAS,1,0.23785166,[2],4,1
OAS,2,0.2915601,[2],4,1
OAS,3,0.29923275,[2],4,1
OAS,4,0.32225063,[2],4,1
GFA,0,0.34594595,[2],4,1
GFA,1,0.30810812,[2],4,1
GFA,2,0.35855857,[2],4,1
GFA,3,0.34414414,[2],4,1
GFA,4,0.3243243,[2],4,1
BAS,0,0.273021,[2],4,1
BAS,1,0.29886913,[2],4,1
BAS,2,0.26817447,[2],4,1
BAS,3,0.26655897,[2],4,1
BAS,4,0.30048466,[2],4,1
VRS,0,0.33254156,[2],4,1
VRS,1,0.2992874,[2],4,1
VRS,2,0.3206651,[2],4,1
VRS,3,0.36579573,[2],4,1
VRS,4,0.34916866,[2],4,1
PGTI,0,0.40101522,[2],4,1
PGTI,1,0.39086294,[2],4,1
PGTI,2,0.40439934,[2],4,1
PGTI,3,0.41285956,[2],4,1
PGTI,4,0.321489,[2],4,1
DL,0,0.44032922,[2],4,1
DL,1,0.45679012,[2],4,1
DL,2,0.44444445,[2],4,1
DL,3,0.4238683,[2],4,1
DL,4,0.44855967,[2],4,1
CALX,0,0.41439205,[2],4,1
CALX,1,0.4044665,[2],4,1
CALX,2,0.39454094,[2],4,1
CALX,3,0.382134,[2],4,1
CALX,4,0.426799,[2],4,1
ATV,0,0.3406193,[2],4,1
ATV,1,0.35336977,[2],4,1
ATV,2,0.35336977,[2],4,1
ATV,3,0.35336977,[2],4,1
ATV,4,0.32786885,[2],4,1
CPE,0,0.34434563,[2],4,1
CPE,1,0.31893265,[2],4,1
CPE,2,0.33799237,[2],4,1
CPE,3,0.33672172,[2],4,1
CPE,4,0.31003812,[2],4,1
IO,0,0.27446,[2],4,1
IO,1,0.2782719,[2],4,1
IO,2,0.2909784,[2],4,1
IO,3,0.27446,[2],4,1
IO,4,0.27700126,[2],4,1
PZN,0,0.33396947,[2],4,1
PZN,1,0.38931298,[2],4,1
PZN,2,0.3721374,[2],4,1
PZN,3,0.39122137,[2],4,1
PZN,4,0.3759542,[2],4,1
NOA,0,0.380035,[2],4,1
NOA,1,0.38528895,[2],4,1
NOA,2,0.38353765,[2],4,1
NOA,3,0.3625219,[2],4,1
NOA,4,0.38353765,[2],4,1
HBM,0,0.44768855,[2],4,1
HBM,1,0.40632603,[2],4,1
HBM,2,0.4452555,[2],4,1
HBM,3,0.4428224,[2],4,1
HBM,4,0.4136253,[2],4,1
LBRT,0,0.3135965,[2],4,1
LBRT,1,0.3223684,[2],4,1
LBRT,2,0.2982456,[2],4,1
LBRT,3,0.30921054,[2],4,1
LBRT,4,0.2741228,[2],4,1
DDD,0,0.27700126,[2],4,1
DDD,1,0.2782719,[2],4,1
DDD,2,0.2757306,[2],4,1
DDD,3,0.28208387,[2],4,1
DDD,4,0.32401526,[2],4,1
TREC,0,0.390625,[2],4,1
TREC,1,0.4296875,[2],4,1
TREC,2,0.38867188,[2],4,1
TREC,3,0.42382812,[2],4,1
TREC,4,0.359375,[2],4,1
CDE,0,0.26048285,[2],4,1
CDE,1,0.2757306,[2],4,1
CDE,2,0.27318934,[2],4,1
CDE,3,0.27191868,[2],4,1
CDE,4,0.2757306,[2],4,1
MXL,0,0.44665012,[2],4,1
MXL,1,0.4019851,[2],4,1
MXL,2,0.46650124,[2],4,1
MXL,3,0.41935483,[2],4,1
MXL,4,0.41191068,[2],4,1
CRD.B,0,0.30495554,[2],4,1
CRD.B,1,0.33545107,[2],4,1
CRD.B,2,0.3011436,[2],4,1
CRD.B,3,0.30622616,[2],4,1
CRD.B,4,0.31639135,[2],4,1
XIN,0,0.3899614,[2],4,1
XIN,1,0.35521236,[2],4,1
XIN,2,0.35521236,[2],4,1
XIN,3,0.2972973,[2],4,1
XIN,4,0.34169886,[2],4,1
QEP,0,0.40102828,[2],4,1
QEP,1,0.41388175,[2],4,1
QEP,2,0.41388175,[2],4,1
QEP,3,0.38303342,[2],4,1
QEP,4,0.44730076,[2],4,1
ESTE,0,0.44878048,[2],4,1
ESTE,1,0.46829268,[2],4,1
ESTE,2,0.4292683,[2],4,1
